entity1_index,entity2_index,y
236.0,120.0,2.0
183.0,151.0,2.0
137.0,81.0,0.0
14.0,140.0,1.0
62.0,253.0,2.0
9.0,129.0,0.0
179.0,234.0,1.0
95.0,228.0,2.0
19.0,31.0,0.0
108.0,92.0,0.0
150.0,213.0,2.0
61.0,32.0,0.0
113.0,12.0,0.0
7.0,258.0,2.0
263.0,271.0,2.0
276.0,129.0,2.0
187.0,212.0,2.0
225.0,262.0,2.0
262.0,54.0,2.0
119.0,234.0,1.0
72.0,88.0,0.0
203.0,200.0,2.0
259.0,122.0,2.0
73.0,288.0,2.0
290.0,179.0,2.0
106.0,235.0,2.0
173.0,14.0,2.0
131.0,158.0,2.0
162.0,102.0,2.0
207.0,24.0,2.0
83.0,250.0,2.0
11.0,120.0,0.0
167.0,290.0,2.0
296.0,169.0,1.0
219.0,6.0,0.0
147.0,150.0,2.0
124.0,187.0,2.0
213.0,150.0,2.0
63.0,96.0,1.0
98.0,210.0,1.0
123.0,178.0,2.0
54.0,280.0,1.0
274.0,169.0,2.0
238.0,212.0,2.0
214.0,287.0,1.0
152.0,99.0,2.0
125.0,15.0,0.0
275.0,173.0,2.0
133.0,227.0,2.0
167.0,224.0,2.0
84.0,282.0,1.0
114.0,221.0,2.0
272.0,22.0,2.0
35.0,211.0,1.0
47.0,287.0,2.0
175.0,51.0,2.0
29.0,246.0,2.0
131.0,143.0,1.0
235.0,167.0,2.0
54.0,9.0,0.0
134.0,39.0,2.0
194.0,165.0,2.0
287.0,100.0,1.0
77.0,67.0,1.0
256.0,111.0,2.0
27.0,192.0,2.0
161.0,28.0,2.0
204.0,226.0,2.0
236.0,160.0,2.0
211.0,160.0,2.0
91.0,257.0,1.0
83.0,74.0,0.0
49.0,217.0,2.0
188.0,129.0,1.0
175.0,168.0,2.0
294.0,248.0,2.0
180.0,279.0,1.0
266.0,156.0,2.0
15.0,47.0,0.0
133.0,293.0,1.0
29.0,118.0,0.0
11.0,100.0,0.0
119.0,102.0,1.0
103.0,258.0,2.0
224.0,262.0,2.0
33.0,58.0,0.0
128.0,112.0,1.0
23.0,204.0,2.0
25.0,120.0,0.0
201.0,297.0,1.0
240.0,60.0,2.0
138.0,95.0,1.0
84.0,31.0,1.0
226.0,186.0,2.0
287.0,58.0,1.0
252.0,167.0,2.0
10.0,24.0,0.0
171.0,215.0,2.0
246.0,35.0,2.0
175.0,153.0,2.0
19.0,25.0,0.0
190.0,143.0,2.0
154.0,96.0,2.0
71.0,210.0,2.0
45.0,295.0,2.0
252.0,231.0,1.0
285.0,225.0,2.0
29.0,268.0,0.0
177.0,211.0,2.0
15.0,285.0,2.0
221.0,284.0,2.0
208.0,281.0,1.0
21.0,131.0,2.0
126.0,234.0,1.0
71.0,281.0,1.0
178.0,127.0,2.0
50.0,106.0,0.0
236.0,87.0,2.0
206.0,178.0,2.0
274.0,248.0,2.0
148.0,63.0,1.0
123.0,173.0,2.0
195.0,26.0,1.0
163.0,29.0,0.0
113.0,92.0,0.0
233.0,96.0,2.0
114.0,62.0,0.0
296.0,154.0,1.0
148.0,2.0,1.0
247.0,212.0,1.0
166.0,30.0,0.0
264.0,161.0,2.0
144.0,270.0,2.0
56.0,285.0,2.0
84.0,258.0,1.0
117.0,17.0,2.0
105.0,75.0,2.0
198.0,96.0,2.0
79.0,262.0,2.0
134.0,136.0,2.0
28.0,203.0,2.0
162.0,73.0,2.0
167.0,173.0,2.0
63.0,79.0,1.0
74.0,288.0,2.0
18.0,50.0,0.0
63.0,40.0,1.0
161.0,40.0,2.0
145.0,27.0,0.0
40.0,149.0,0.0
187.0,156.0,1.0
58.0,252.0,1.0
258.0,216.0,1.0
200.0,81.0,0.0
285.0,22.0,2.0
112.0,110.0,2.0
121.0,30.0,2.0
180.0,36.0,2.0
151.0,201.0,2.0
38.0,157.0,0.0
25.0,293.0,2.0
188.0,217.0,2.0
193.0,7.0,2.0
45.0,208.0,1.0
91.0,243.0,1.0
238.0,286.0,1.0
154.0,160.0,2.0
245.0,294.0,1.0
273.0,121.0,1.0
279.0,157.0,2.0
131.0,82.0,0.0
16.0,18.0,0.0
139.0,297.0,2.0
136.0,56.0,2.0
68.0,55.0,0.0
156.0,134.0,1.0
202.0,248.0,1.0
267.0,282.0,2.0
7.0,39.0,2.0
8.0,262.0,2.0
271.0,183.0,2.0
208.0,230.0,2.0
219.0,59.0,2.0
8.0,22.0,0.0
277.0,258.0,1.0
48.0,62.0,0.0
73.0,143.0,2.0
130.0,240.0,2.0
5.0,76.0,0.0
79.0,287.0,1.0
50.0,285.0,2.0
222.0,70.0,1.0
166.0,294.0,2.0
3.0,82.0,0.0
85.0,96.0,0.0
191.0,105.0,2.0
203.0,179.0,1.0
296.0,246.0,2.0
173.0,107.0,1.0
84.0,138.0,2.0
260.0,270.0,2.0
237.0,157.0,2.0
153.0,225.0,2.0
283.0,191.0,2.0
217.0,164.0,1.0
263.0,115.0,2.0
233.0,175.0,1.0
126.0,284.0,1.0
17.0,44.0,0.0
253.0,220.0,1.0
244.0,49.0,1.0
38.0,264.0,2.0
126.0,221.0,1.0
256.0,63.0,1.0
102.0,261.0,2.0
252.0,61.0,1.0
265.0,283.0,2.0
36.0,152.0,0.0
238.0,127.0,1.0
255.0,135.0,2.0
216.0,133.0,1.0
157.0,74.0,0.0
221.0,180.0,2.0
45.0,279.0,2.0
10.0,38.0,0.0
75.0,176.0,0.0
223.0,211.0,2.0
240.0,47.0,0.0
283.0,81.0,2.0
104.0,116.0,2.0
4.0,255.0,0.0
251.0,252.0,2.0
6.0,74.0,0.0
74.0,73.0,0.0
257.0,119.0,2.0
296.0,161.0,1.0
272.0,39.0,1.0
13.0,195.0,2.0
155.0,244.0,2.0
130.0,291.0,1.0
58.0,43.0,0.0
1.0,29.0,0.0
197.0,132.0,2.0
24.0,48.0,0.0
119.0,199.0,1.0
165.0,252.0,1.0
86.0,93.0,0.0
205.0,160.0,2.0
148.0,114.0,2.0
258.0,100.0,2.0
230.0,208.0,2.0
151.0,87.0,2.0
161.0,193.0,1.0
143.0,88.0,2.0
297.0,196.0,2.0
73.0,200.0,0.0
88.0,260.0,2.0
225.0,182.0,1.0
179.0,297.0,2.0
222.0,171.0,2.0
265.0,21.0,2.0
284.0,155.0,1.0
76.0,60.0,0.0
289.0,63.0,2.0
245.0,46.0,2.0
22.0,98.0,2.0
92.0,212.0,2.0
170.0,72.0,2.0
268.0,253.0,2.0
189.0,113.0,2.0
48.0,128.0,0.0
34.0,147.0,2.0
280.0,286.0,1.0
30.0,211.0,0.0
169.0,162.0,1.0
281.0,181.0,2.0
280.0,224.0,1.0
37.0,62.0,0.0
299.0,124.0,1.0
256.0,105.0,1.0
96.0,15.0,0.0
74.0,144.0,2.0
36.0,108.0,0.0
253.0,216.0,2.0
107.0,75.0,0.0
33.0,34.0,0.0
138.0,67.0,0.0
189.0,176.0,1.0
271.0,182.0,1.0
193.0,215.0,2.0
259.0,108.0,1.0
242.0,273.0,1.0
10.0,180.0,0.0
83.0,57.0,2.0
131.0,31.0,0.0
117.0,247.0,1.0
182.0,139.0,1.0
0.0,273.0,1.0
70.0,83.0,1.0
190.0,105.0,1.0
140.0,212.0,1.0
135.0,0.0,2.0
290.0,168.0,2.0
28.0,238.0,1.0
133.0,290.0,1.0
116.0,138.0,2.0
255.0,93.0,2.0
63.0,139.0,1.0
25.0,20.0,0.0
273.0,52.0,1.0
131.0,269.0,2.0
45.0,185.0,0.0
269.0,266.0,2.0
98.0,133.0,1.0
57.0,245.0,1.0
229.0,176.0,1.0
267.0,217.0,2.0
191.0,292.0,2.0
288.0,242.0,1.0
281.0,206.0,2.0
74.0,149.0,2.0
190.0,252.0,2.0
23.0,53.0,0.0
280.0,7.0,1.0
281.0,29.0,1.0
202.0,159.0,1.0
15.0,45.0,0.0
64.0,91.0,1.0
131.0,5.0,0.0
208.0,62.0,2.0
100.0,194.0,0.0
291.0,44.0,2.0
132.0,58.0,0.0
111.0,13.0,1.0
217.0,268.0,1.0
118.0,224.0,1.0
83.0,264.0,2.0
79.0,292.0,2.0
27.0,176.0,2.0
141.0,43.0,0.0
161.0,72.0,2.0
296.0,51.0,2.0
97.0,168.0,1.0
247.0,57.0,1.0
238.0,178.0,1.0
271.0,189.0,2.0
277.0,230.0,2.0
207.0,189.0,2.0
118.0,26.0,1.0
39.0,79.0,2.0
220.0,78.0,1.0
136.0,281.0,2.0
5.0,201.0,0.0
236.0,279.0,2.0
293.0,84.0,1.0
252.0,236.0,1.0
125.0,34.0,0.0
20.0,57.0,0.0
38.0,258.0,2.0
191.0,33.0,2.0
63.0,268.0,1.0
158.0,247.0,1.0
50.0,249.0,2.0
156.0,276.0,1.0
226.0,91.0,1.0
33.0,116.0,0.0
26.0,275.0,1.0
222.0,221.0,2.0
68.0,16.0,0.0
37.0,169.0,2.0
268.0,70.0,1.0
263.0,129.0,2.0
179.0,25.0,2.0
211.0,210.0,1.0
164.0,105.0,2.0
115.0,273.0,1.0
24.0,75.0,0.0
148.0,88.0,2.0
112.0,5.0,2.0
224.0,283.0,1.0
160.0,234.0,2.0
97.0,224.0,2.0
55.0,80.0,0.0
68.0,125.0,0.0
210.0,245.0,1.0
214.0,97.0,2.0
170.0,62.0,1.0
40.0,3.0,0.0
90.0,30.0,0.0
5.0,37.0,0.0
280.0,17.0,1.0
14.0,226.0,2.0
235.0,277.0,2.0
226.0,235.0,1.0
230.0,293.0,2.0
193.0,61.0,2.0
55.0,271.0,2.0
131.0,180.0,1.0
156.0,60.0,1.0
75.0,252.0,2.0
247.0,182.0,1.0
107.0,46.0,0.0
47.0,273.0,1.0
122.0,259.0,2.0
94.0,208.0,1.0
203.0,186.0,1.0
126.0,299.0,1.0
291.0,43.0,2.0
82.0,24.0,0.0
9.0,64.0,0.0
25.0,128.0,0.0
230.0,212.0,2.0
78.0,13.0,1.0
65.0,188.0,2.0
1.0,176.0,0.0
58.0,48.0,0.0
282.0,80.0,2.0
187.0,200.0,2.0
203.0,287.0,2.0
196.0,63.0,1.0
88.0,194.0,2.0
120.0,13.0,2.0
13.0,242.0,2.0
213.0,65.0,2.0
119.0,296.0,2.0
284.0,71.0,2.0
149.0,204.0,2.0
254.0,0.0,1.0
171.0,260.0,1.0
63.0,282.0,1.0
79.0,65.0,2.0
144.0,80.0,0.0
107.0,120.0,2.0
55.0,182.0,1.0
164.0,282.0,2.0
76.0,229.0,2.0
24.0,101.0,0.0
37.0,277.0,2.0
251.0,230.0,2.0
43.0,20.0,0.0
219.0,253.0,1.0
164.0,5.0,0.0
217.0,13.0,2.0
239.0,148.0,2.0
4.0,37.0,0.0
291.0,158.0,1.0
187.0,142.0,2.0
166.0,206.0,2.0
189.0,82.0,2.0
42.0,220.0,1.0
212.0,115.0,2.0
44.0,132.0,0.0
260.0,71.0,1.0
136.0,242.0,2.0
187.0,60.0,2.0
19.0,234.0,2.0
90.0,210.0,1.0
234.0,13.0,2.0
115.0,137.0,2.0
183.0,209.0,2.0
137.0,294.0,2.0
203.0,165.0,1.0
44.0,133.0,2.0
139.0,108.0,2.0
44.0,203.0,2.0
267.0,184.0,2.0
157.0,214.0,2.0
22.0,85.0,0.0
61.0,17.0,0.0
131.0,194.0,2.0
207.0,112.0,1.0
274.0,73.0,1.0
160.0,82.0,2.0
103.0,83.0,0.0
104.0,17.0,2.0
169.0,228.0,1.0
295.0,105.0,1.0
235.0,26.0,2.0
222.0,122.0,2.0
14.0,135.0,2.0
48.0,150.0,0.0
195.0,45.0,2.0
157.0,161.0,2.0
166.0,156.0,2.0
224.0,3.0,1.0
223.0,299.0,2.0
218.0,142.0,1.0
215.0,199.0,2.0
144.0,286.0,1.0
225.0,167.0,2.0
220.0,224.0,2.0
252.0,65.0,1.0
22.0,71.0,0.0
169.0,138.0,1.0
161.0,75.0,2.0
291.0,282.0,2.0
221.0,46.0,2.0
138.0,167.0,2.0
291.0,238.0,2.0
112.0,297.0,1.0
70.0,250.0,2.0
120.0,126.0,2.0
269.0,136.0,2.0
190.0,58.0,0.0
84.0,247.0,1.0
19.0,2.0,0.0
49.0,112.0,1.0
271.0,66.0,2.0
95.0,258.0,2.0
264.0,247.0,1.0
202.0,49.0,2.0
150.0,182.0,1.0
264.0,115.0,1.0
120.0,157.0,2.0
264.0,218.0,2.0
273.0,255.0,2.0
114.0,30.0,2.0
137.0,248.0,1.0
71.0,1.0,0.0
295.0,200.0,2.0
138.0,253.0,2.0
228.0,186.0,1.0
28.0,197.0,2.0
192.0,216.0,1.0
281.0,49.0,1.0
103.0,38.0,0.0
238.0,98.0,2.0
281.0,200.0,2.0
292.0,269.0,2.0
233.0,187.0,2.0
184.0,122.0,2.0
130.0,94.0,2.0
276.0,33.0,2.0
262.0,231.0,1.0
42.0,228.0,2.0
197.0,148.0,1.0
164.0,94.0,2.0
56.0,247.0,1.0
189.0,236.0,2.0
77.0,213.0,2.0
260.0,84.0,2.0
193.0,0.0,1.0
247.0,111.0,2.0
249.0,157.0,2.0
146.0,273.0,1.0
239.0,250.0,2.0
282.0,140.0,2.0
17.0,270.0,0.0
76.0,254.0,2.0
94.0,207.0,2.0
109.0,176.0,2.0
6.0,2.0,0.0
130.0,167.0,1.0
226.0,159.0,2.0
43.0,29.0,0.0
254.0,84.0,2.0
